[2015-12-04 01:46:29] grav.CRITICAL: session_start(): open(/var/lib/php5/sess_3i41h2irdobmnitladtmqps236, O_RDWR) failed: Permission denied (13) - Trace: #0 [internal function]: Whoops\Run->handleError(2, 'session_start()...', '/vagrant/site/v...', 85, Array) #1 /vagrant/site/vendor/rockettheme/toolbox/Session/src/Session.php(85): session_start() #2 /vagrant/site/system/src/Grav/Common/Session.php(49): RocketTheme\Toolbox\Session\Session->start() #3 /vagrant/site/system/src/Grav/Common/Grav.php(195): Grav\Common\Session->init() #4 /vagrant/site/index.php(37): Grav\Common\Grav->process() #5 {main} [] []
[2015-12-04 01:46:29] grav.CRITICAL: Unknown: open(/var/lib/php5/sess_3i41h2irdobmnitladtmqps236, O_RDWR) failed: Permission denied (13) - Trace: #0 [internal function]: Whoops\Run->handleError(2, 'Unknown: open(/...', 'Unknown', 0, NULL) #1 {main} [] []
[2015-12-04 01:46:30] grav.CRITICAL: session_start(): open(/var/lib/php5/sess_3i41h2irdobmnitladtmqps236, O_RDWR) failed: Permission denied (13) - Trace: #0 [internal function]: Whoops\Run->handleError(2, 'session_start()...', '/vagrant/site/v...', 85, Array) #1 /vagrant/site/vendor/rockettheme/toolbox/Session/src/Session.php(85): session_start() #2 /vagrant/site/system/src/Grav/Common/Session.php(49): RocketTheme\Toolbox\Session\Session->start() #3 /vagrant/site/system/src/Grav/Common/Grav.php(195): Grav\Common\Session->init() #4 /vagrant/site/index.php(37): Grav\Common\Grav->process() #5 {main} [] []
[2015-12-04 01:46:30] grav.CRITICAL: Unknown: open(/var/lib/php5/sess_3i41h2irdobmnitladtmqps236, O_RDWR) failed: Permission denied (13) - Trace: #0 [internal function]: Whoops\Run->handleError(2, 'Unknown: open(/...', 'Unknown', 0, NULL) #1 {main} [] []
[2015-12-04 01:46:31] grav.CRITICAL: session_start(): open(/var/lib/php5/sess_3i41h2irdobmnitladtmqps236, O_RDWR) failed: Permission denied (13) - Trace: #0 [internal function]: Whoops\Run->handleError(2, 'session_start()...', '/vagrant/site/v...', 85, Array) #1 /vagrant/site/vendor/rockettheme/toolbox/Session/src/Session.php(85): session_start() #2 /vagrant/site/system/src/Grav/Common/Session.php(49): RocketTheme\Toolbox\Session\Session->start() #3 /vagrant/site/system/src/Grav/Common/Grav.php(195): Grav\Common\Session->init() #4 /vagrant/site/index.php(37): Grav\Common\Grav->process() #5 {main} [] []
[2015-12-04 01:46:31] grav.CRITICAL: Unknown: open(/var/lib/php5/sess_3i41h2irdobmnitladtmqps236, O_RDWR) failed: Permission denied (13) - Trace: #0 [internal function]: Whoops\Run->handleError(2, 'Unknown: open(/...', 'Unknown', 0, NULL) #1 {main} [] []
[2015-12-04 01:46:33] grav.CRITICAL: session_start(): open(/var/lib/php5/sess_3i41h2irdobmnitladtmqps236, O_RDWR) failed: Permission denied (13) - Trace: #0 [internal function]: Whoops\Run->handleError(2, 'session_start()...', '/vagrant/site/v...', 85, Array) #1 /vagrant/site/vendor/rockettheme/toolbox/Session/src/Session.php(85): session_start() #2 /vagrant/site/system/src/Grav/Common/Session.php(49): RocketTheme\Toolbox\Session\Session->start() #3 /vagrant/site/system/src/Grav/Common/Grav.php(195): Grav\Common\Session->init() #4 /vagrant/site/index.php(37): Grav\Common\Grav->process() #5 {main} [] []
[2015-12-04 01:46:33] grav.CRITICAL: Unknown: open(/var/lib/php5/sess_3i41h2irdobmnitladtmqps236, O_RDWR) failed: Permission denied (13) - Trace: #0 [internal function]: Whoops\Run->handleError(2, 'Unknown: open(/...', 'Unknown', 0, NULL) #1 {main} [] []
[2015-12-04 01:46:34] grav.CRITICAL: session_start(): open(/var/lib/php5/sess_3i41h2irdobmnitladtmqps236, O_RDWR) failed: Permission denied (13) - Trace: #0 [internal function]: Whoops\Run->handleError(2, 'session_start()...', '/vagrant/site/v...', 85, Array) #1 /vagrant/site/vendor/rockettheme/toolbox/Session/src/Session.php(85): session_start() #2 /vagrant/site/system/src/Grav/Common/Session.php(49): RocketTheme\Toolbox\Session\Session->start() #3 /vagrant/site/system/src/Grav/Common/Grav.php(195): Grav\Common\Session->init() #4 /vagrant/site/index.php(37): Grav\Common\Grav->process() #5 {main} [] []
[2015-12-04 01:46:34] grav.CRITICAL: Unknown: open(/var/lib/php5/sess_3i41h2irdobmnitladtmqps236, O_RDWR) failed: Permission denied (13) - Trace: #0 [internal function]: Whoops\Run->handleError(2, 'Unknown: open(/...', 'Unknown', 0, NULL) #1 {main} [] []
[2015-12-04 01:46:38] grav.CRITICAL: session_start(): open(/var/lib/php5/sess_3i41h2irdobmnitladtmqps236, O_RDWR) failed: Permission denied (13) - Trace: #0 [internal function]: Whoops\Run->handleError(2, 'session_start()...', '/vagrant/site/v...', 85, Array) #1 /vagrant/site/vendor/rockettheme/toolbox/Session/src/Session.php(85): session_start() #2 /vagrant/site/system/src/Grav/Common/Session.php(49): RocketTheme\Toolbox\Session\Session->start() #3 /vagrant/site/system/src/Grav/Common/Grav.php(195): Grav\Common\Session->init() #4 /vagrant/site/index.php(37): Grav\Common\Grav->process() #5 {main} [] []
[2015-12-04 01:46:38] grav.CRITICAL: Unknown: open(/var/lib/php5/sess_3i41h2irdobmnitladtmqps236, O_RDWR) failed: Permission denied (13) - Trace: #0 [internal function]: Whoops\Run->handleError(2, 'Unknown: open(/...', 'Unknown', 0, NULL) #1 {main} [] []
[2015-12-04 01:46:39] grav.CRITICAL: session_start(): open(/var/lib/php5/sess_3i41h2irdobmnitladtmqps236, O_RDWR) failed: Permission denied (13) - Trace: #0 [internal function]: Whoops\Run->handleError(2, 'session_start()...', '/vagrant/site/v...', 85, Array) #1 /vagrant/site/vendor/rockettheme/toolbox/Session/src/Session.php(85): session_start() #2 /vagrant/site/system/src/Grav/Common/Session.php(49): RocketTheme\Toolbox\Session\Session->start() #3 /vagrant/site/system/src/Grav/Common/Grav.php(195): Grav\Common\Session->init() #4 /vagrant/site/index.php(37): Grav\Common\Grav->process() #5 {main} [] []
[2015-12-04 01:46:39] grav.CRITICAL: Unknown: open(/var/lib/php5/sess_3i41h2irdobmnitladtmqps236, O_RDWR) failed: Permission denied (13) - Trace: #0 [internal function]: Whoops\Run->handleError(2, 'Unknown: open(/...', 'Unknown', 0, NULL) #1 {main} [] []
[2015-12-04 01:47:12] grav.CRITICAL: session_start(): open(/var/lib/php5/sess_3i41h2irdobmnitladtmqps236, O_RDWR) failed: Permission denied (13) - Trace: #0 [internal function]: Whoops\Run->handleError(2, 'session_start()...', '/vagrant/site/v...', 85, Array) #1 /vagrant/site/vendor/rockettheme/toolbox/Session/src/Session.php(85): session_start() #2 /vagrant/site/system/src/Grav/Common/Session.php(49): RocketTheme\Toolbox\Session\Session->start() #3 /vagrant/site/system/src/Grav/Common/Grav.php(195): Grav\Common\Session->init() #4 /vagrant/site/index.php(37): Grav\Common\Grav->process() #5 {main} [] []
[2015-12-04 01:47:12] grav.CRITICAL: Unknown: open(/var/lib/php5/sess_3i41h2irdobmnitladtmqps236, O_RDWR) failed: Permission denied (13) - Trace: #0 [internal function]: Whoops\Run->handleError(2, 'Unknown: open(/...', 'Unknown', 0, NULL) #1 {main} [] []
[2015-12-04 01:47:14] grav.CRITICAL: session_start(): open(/var/lib/php5/sess_3i41h2irdobmnitladtmqps236, O_RDWR) failed: Permission denied (13) - Trace: #0 [internal function]: Whoops\Run->handleError(2, 'session_start()...', '/vagrant/site/v...', 85, Array) #1 /vagrant/site/vendor/rockettheme/toolbox/Session/src/Session.php(85): session_start() #2 /vagrant/site/system/src/Grav/Common/Session.php(49): RocketTheme\Toolbox\Session\Session->start() #3 /vagrant/site/system/src/Grav/Common/Grav.php(195): Grav\Common\Session->init() #4 /vagrant/site/index.php(37): Grav\Common\Grav->process() #5 {main} [] []
[2015-12-04 01:47:14] grav.CRITICAL: Unknown: open(/var/lib/php5/sess_3i41h2irdobmnitladtmqps236, O_RDWR) failed: Permission denied (13) - Trace: #0 [internal function]: Whoops\Run->handleError(2, 'Unknown: open(/...', 'Unknown', 0, NULL) #1 {main} [] []
[2015-12-04 02:29:06] grav.CRITICAL: session_start(): open(/var/lib/php5/sess_3i41h2irdobmnitladtmqps236, O_RDWR) failed: Permission denied (13) - Trace: #0 [internal function]: Whoops\Run->handleError(2, 'session_start()...', '/vagrant/site/v...', 85, Array) #1 /vagrant/site/vendor/rockettheme/toolbox/Session/src/Session.php(85): session_start() #2 /vagrant/site/system/src/Grav/Common/Session.php(49): RocketTheme\Toolbox\Session\Session->start() #3 /vagrant/site/system/src/Grav/Common/Grav.php(195): Grav\Common\Session->init() #4 /vagrant/site/index.php(37): Grav\Common\Grav->process() #5 {main} [] []
[2015-12-04 02:29:06] grav.CRITICAL: Unknown: open(/var/lib/php5/sess_3i41h2irdobmnitladtmqps236, O_RDWR) failed: Permission denied (13) - Trace: #0 [internal function]: Whoops\Run->handleError(2, 'Unknown: open(/...', 'Unknown', 0, NULL) #1 {main} [] []
[2015-12-04 02:29:12] grav.CRITICAL: session_start(): open(/var/lib/php5/sess_3i41h2irdobmnitladtmqps236, O_RDWR) failed: Permission denied (13) - Trace: #0 [internal function]: Whoops\Run->handleError(2, 'session_start()...', '/vagrant/site/v...', 85, Array) #1 /vagrant/site/vendor/rockettheme/toolbox/Session/src/Session.php(85): session_start() #2 /vagrant/site/system/src/Grav/Common/Session.php(49): RocketTheme\Toolbox\Session\Session->start() #3 /vagrant/site/system/src/Grav/Common/Grav.php(195): Grav\Common\Session->init() #4 /vagrant/site/index.php(37): Grav\Common\Grav->process() #5 {main} [] []
[2015-12-04 02:29:12] grav.CRITICAL: Unknown: open(/var/lib/php5/sess_3i41h2irdobmnitladtmqps236, O_RDWR) failed: Permission denied (13) - Trace: #0 [internal function]: Whoops\Run->handleError(2, 'Unknown: open(/...', 'Unknown', 0, NULL) #1 {main} [] []
